GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	RVIS_ExAC_0.1%	RVIS_ExAC_0.05%popn
CLK1	-0.36	29.16	-0.34	30.37	0.1	56.51	-0.22	32.69	-0.49	23.35	-0.3	34.73	-0.11	43.42	0	57.39	NA	NA	16	6.92
CNGA3	-1.27	3.98	-0.66	16.12	1.19	93.24	-1.47	3.25	-0.3	33.21	-0.85	8.94	-0.62	17.51	-1.76	1.98	NA	NA	52.8	89.13
CNNM4	-0.89	8.42	-1.15	6.23	-0.96	10.16	-0.83	9.49	-1.33	4.85	-0.83	9.81	-1	9.23	-0.96	8.05	NA	NA	4.37	3.77
CNPPD1	0.99	90.84	1.15	92.56	-0.31	30.72	0.59	86.31	1.03	91.12	1.59	95.62	0.47	78.11	0.96	90.23	NA	NA	95.74	80.24
CNRIP1	-0.25	37.63	-0.16	41.64	-0.31	30.96	0.21	67.55	-0.36	30.26	-0.21	41.76	-0.21	36.73	-0.3	33.66	-0.73	18.52	NA	64.76
CNTNAP5	-0.66	14.14	-0.99	8.65	-1.89	2.6	-2.01	1.53	-0.52	21.98	-0.41	25.99	-0.56	19.52	-1.25	4.66	NA	NA	5.19	5.83
COA5	0.05	64.03	0.06	58	0.11	56.84	0.27	72.42	0.04	58.08	0.04	64.23	0.16	62.02	0.1	65.33	2.35	99.62	57.73	72.52
COBLL1	0.02	61.22	0.41	76.54	0.04	52.25	0.04	52.81	0.8	87.36	0.19	70.44	-0.88	11.07	-0.45	23.38	NA	NA	76.18	30.39
COL3A1	-1.31	3.67	-0.23	36.34	-1.55	4.09	1.08	94.91	-0.4	27.33	-0.91	7.74	-1.22	6.22	-1.29	4.26	NA	NA	9.67	5.24
COL4A3	2.25	97.88	1.35	94.31	1.24	93.74	1.87	98.5	2.45	98.47	3.26	99.23	1.45	95.16	0.83	88.3	NA	NA	74.7	36.59
COL4A4	3.3	99.3	1.04	91.27	-0.45	24.18	2.5	99.26	-0.45	24.99	0.51	81.99	0.98	90.57	3.47	99.32	NA	NA	66.3	5.67
COL5A2	-0.08	51.55	-0.87	10.59	0.48	77.01	0.31	74.48	-0.72	14.85	0	59.17	-1.58	3.67	-0.91	8.85	NA	NA	13.61	19.11
COL6A3	-2.68	0.47	-2.55	0.86	-0.82	12.78	1.91	98.56	-4.86	0.07	-3.67	0.14	-3.4	0.45	-2.44	0.78	NA	NA	94.56	91.64
COLEC11	0.29	75.08	-0.11	45.26	-0.09	43.42	-0.13	38.79	-0.23	37.79	-0.09	52.13	0.21	65.23	0.49	80.99	NA	NA	53.66	66.85
COMMD1	0.24	72.99	-0.05	49.76	-0.1	42.66	0.29	73.88	0.19	66.52	0.42	79.89	0.04	53.75	-0.3	33.66	-1.2	10.82	70.09	84.22
COPS7B	-0.22	39.8	-0.12	44.89	-0.66	16.61	-0.05	45.37	0.12	62.86	-0.15	47.68	-0.41	25.66	-0.27	35.97	-2.55	2.26	64.88	56.39
COPS8	-0.1	49.88	0.06	58.26	-0.05	46.23	0.09	56.76	-0.09	48.54	-0.05	57.34	0.22	66.59	-0.18	43.38	-0.11	38.51	36.43	48.67
COQ10B	-0.13	47.18	0.01	54.95	0.02	50.77	0.05	53.89	0.06	58.83	-0.19	43.65	-0.13	42.03	-0.08	50.87	-0.85	16.24	50.42	45.45
COX5B	0.02	61.78	0.24	68.72	0.32	69.68	0.24	69.83	0.39	75.71	0.02	62.73	0.26	68.43	0.39	77.87	0.34	59.86	79.35	71.14
COX7A2L	-0.12	48.6	-0.23	36.86	0.06	53.47	0.05	53.89	-0.16	43.78	-0.09	53.45	-0.17	38.94	-0.12	48.49	0.73	78.52	56.77	54.55
CPO	0.57	83.8	0.67	84.61	1.29	94.23	-0.28	28.77	0.21	67.45	1.01	91.3	1.2	93.13	0.73	86.61	NA	NA	64.69	71.53
CPS1	-0.34	30.47	-0.63	16.81	0.05	52.91	-0.66	12.75	0.13	62.91	0.29	74.43	-0.61	17.76	0.01	58.94	NA	NA	23.08	5.90
CPSF3	-0.51	20.54	-0.56	19.54	-1.03	9.04	-0.38	23.02	-0.31	33.16	-0.43	25.96	-0.73	14.64	-0.63	16.36	NA	NA	24.58	9.54
CREB1	-0.09	51.36	0.08	59.76	-0.3	31.36	0.1	58.27	-0.12	46.17	-0.07	55.41	0.12	59.86	-0.08	50.87	-1.61	6.81	36.84	30.94
CRIM1	-1.66	1.98	-1.1	6.93	-1.06	8.63	-0.86	9.12	-0.44	25.58	-0.93	7.43	-1.57	3.75	-1.97	1.48	NA	NA	5.46	16.46
CRIPT	-0.06	54.08	-0.12	44.54	-0.36	28.24	0.14	61.38	-0.02	53.64	0	61.1	-0.13	42.03	-0.08	50.87	-0.54	23.45	53.41	47.84
CRYBA2	-0.26	36.41	-0.18	39.95	-0.05	45.8	0.19	66.09	-0.39	28.47	-0.24	39.98	-0.07	46.14	-0.21	40.71	0.21	53.13	41.89	66.09
CRYGA	-0.29	34.06	0.02	55.22	0.01	50.37	0.16	63.19	0.33	73.49	-0.26	38.17	-0.3	31.21	-0.36	29.59	1.31	94.48	69.95	84.81
CRYGB	0.19	71.21	0.13	63	0.36	71.87	0.24	70.23	0.16	64.82	0.4	79.08	0.48	78.39	0.44	79.63	0.36	60.51	58.33	51.83
CRYGC	0.18	70.58	0.33	73.27	0.46	76.4	0.21	67.55	0.4	76.21	0.31	76.03	0.28	69.61	-0.3	33.66	NA	NA	71.32	70.71
CRYGD	-0.1	49.88	0.06	58.26	0.53	79.15	0.37	78.18	0.16	64.82	-0.13	49.82	-0.13	42.03	-0.08	50.87	0.68	76.73	83.61	75.15
CSRNP3	0.28	74.55	-0.18	40.36	-0.86	11.92	-0.18	35.31	-0.23	37.79	0.44	80.21	0.09	57.81	-0.03	54.84	NA	NA	29.05	29.83
CTDSP1	0.15	69.36	0.06	58.53	-0.05	45.8	-0.1	41.12	0.3	72	-0.28	36.38	0.04	53.75	0.09	64.59	-1.15	11.49	78.25	39.15
CTLA4	0.26	74.23	-0.01	53.19	-0.17	38.56	0.04	52.37	0.16	64.82	0.4	79.08	-0.07	46.14	0.18	69.93	-1.88	4.88	59.32	44.79
CTNNA2	-0.47	22.42	-0.64	16.63	-1.64	3.59	-0.53	17.15	-0.54	21.24	-0.81	10.28	-1	9.23	-0.58	17.81	NA	NA	4.03	3.46
CUL3	0.18	70.58	-0.14	43.29	-0.7	15.62	-0.06	44.03	0.02	56.56	0.31	76.03	-0.26	34.03	0.06	62.42	-3.44	0.78	20.61	8.33
CWC22	1.01	91.07	0.07	59.11	-0.09	43.52	-0.44	20.32	1.4	94.56	1.1	92.16	0.3	70.15	0.3	74.75	NA	NA	90.77	57.59
CXCR1	1.43	94.62	0.46	78.69	1.08	91.91	0.04	53.03	0.77	86.69	0.89	89.69	0.9	89.16	0.85	88.78	NA	NA	92.37	85.91
CXCR2	-0.55	18.49	0.6	82.74	-0.28	32.36	-0.14	37.72	0.18	65.71	-0.6	17.16	-0.14	40.84	-0.57	18.55	NA	NA	43.94	23.93
CXCR4	-0.18	43.45	-0.3	32.62	-0.39	26.67	0	49.5	-0.32	32.45	-0.19	43.65	-0.22	36.04	-0.15	45.89	-0.85	16.23	28.86	36.16
CXCR7	-0.18	42.6	0.04	57.31	0.04	52.15	-0.48	18.72	-0.34	31.36	-0.68	14.01	-0.19	37.79	-0.22	39.22	NA	NA	52.08	58.65
CXXC11	2.22	97.82	0.74	86.33	0.12	57.73	0.66	88.23	-0.21	39.18	0.51	82.12	0.24	67.26	1.58	95.5	NA	NA	94.15	74.12
CYBRD1	0.24	72.99	0.68	84.93	0.77	86.28	0.58	86.05	0.78	87.06	0.31	76.03	0.42	76.19	0.18	69.93	NA	NA	70.14	85.04
CYP1B1	0.84	89.01	0.44	77.91	-0.28	32.44	0.13	60.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.03	66.78
CYP20A1	0.22	72.1	0.26	70.52	0.72	85.12	-0.21	32.96	0.79	87.3	0.61	84.96	-0.38	27.1	0.43	79.24	NA	NA	71.89	78.93
CYP26B1	-0.11	48.84	0	54.03	0.09	55.53	-0.31	26.93	-0.12	45.17	-0.26	36.81	-0.38	26.85	-0.2	40.81	NA	NA	82.92	84.98
CYP27A1	-0.73	12.13	-0.31	32.23	-0.33	29.46	-0.25	30.04	-0.97	9.07	-0.55	18.37	0.78	86.89	0.07	63.51	NA	NA	65.2	85.61
CYP27C1	-0.08	51.94	-0.05	50.22	-0.55	20.08	-0.37	23.93	-0.38	29.05	-0.47	23.43	-0.29	31.79	-0.12	47.02	NA	NA	44.34	12.27
CYTIP	-0.45	23.72	-0.74	13.94	0.15	59.7	-0.33	25.66	-0.69	15.81	-0.43	25.96	-0.83	12.13	-0.54	19.74	NA	NA	68.19	46.57
D2HGDH	0.27	74.35	-0.06	48.84	-0.29	32.02	-0.92	8.21	0.91	89.32	0.74	87.11	-0.38	26.85	-0.2	40.81	NA	NA	72.06	66.98
DAPL1	1.09	91.91	0.73	85.98	0.7	84.63	0.9	92.88	1.19	92.85	1.4	94.66	0.37	74.12	0.53	82.31	NA	NA	91.79	85.96
DARS	-0.45	23.72	0.26	70.44	-0.14	40.39	0.26	71.72	-0.25	37.42	-0.38	28.74	0.54	80.6	-0.06	52.06	NA	NA	30.76	27.30
DCAF17	-0.04	56.02	-0.47	23.25	0.15	59.7	-0.32	26.55	-0.13	44.96	-0.02	57.92	-0.3	31.21	0.03	60.12	NA	NA	20.45	19.22
DCTN1	-0.84	9.39	-0.88	10.58	-1.54	4.22	-0.58	15.03	-0.75	13.91	-0.89	8.04	-1.09	7.84	-1.43	3.34	NA	NA	2.75	3.26
DDX1	-0.68	13.66	-0.6	18.06	-1.22	6.69	-0.31	26.84	-0.96	9.36	-0.6	17.16	-0.76	13.71	-0.81	11.04	NA	NA	8.94	13.91
DDX18	-0.35	29.49	1	90.69	0.57	80.56	-0.68	12.3	0.7	85.05	0.31	75.55	0.58	81.75	0.1	65.52	NA	NA	84.11	77.91
DES	0.19	70.88	-0.51	21.56	-0.09	43.93	-0.24	30.91	-0.58	19.72	-0.07	54.03	0.22	66.02	-0.43	24.92	NA	NA	NA	71.95
DFNB59	0.45	80.65	-0.14	43.57	0.35	71.6	0.33	76.03	0.55	81.07	0.7	86.62	0.43	76.7	0.41	78.67	NA	NA	74.31	47.44
DGKD	-1.67	1.93	-2.34	1.16	-2.41	1.37	-1.74	2.19	-2.7	0.7	-1.7	1.69	-1.93	2.35	-1.72	2.13	NA	NA	1.22	1.99
DGUOK	-0.05	54.71	-0.25	35.99	0.4	73.68	-0.04	45.77	0	54.9	0.06	64.99	0	50.86	-0.48	22.63	NA	NA	49.49	59.47
DHRS9	-0.09	50.47	0.66	84.55	0.28	67.61	0.19	66.37	0.48	79.08	-0.41	27.43	0.11	59.29	0.43	79.24	NA	NA	85.65	78.77
DHX57	-1.24	4.23	-1.14	6.4	-0.16	39.44	-1.23	4.85	-0.75	13.87	-0.55	18.13	-0.37	27.11	-1.39	3.56	NA	NA	3.76	13.99
DIRC1	0.78	88.06	0.64	83.63	0.26	66.51	1.02	94.26	0.98	90.41	0.44	80.53	0.7	85.33	0.36	76.95	NA	NA	85.28	74.13
DIS3L2	-0.87	8.82	-0.28	33.53	-0.74	14.67	0.45	81.13	-0.58	19.48	-0.79	10.46	-0.29	31.84	-0.91	8.82	NA	NA	4.01	16.26
DLX1	-0.12	48.6	-0.21	38.28	-0.23	34.77	0.07	55.44	-0.06	51	-0.02	59.11	-0.27	33.32	-0.18	43.38	-1.01	13.28	35.72	41.04
DLX2	-0.08	52.75	-0.16	41.25	0.03	51.87	0.1	58.27	-0.16	43.78	-0.09	53.45	0.17	62.87	-0.05	53.64	-0.82	16.79	36.04	62.11
DNAH6	1.73	96.23	2.02	97.72	8.66	99.95	0.69	88.95	2.59	98.69	2.39	98.14	1.45	95.16	1.21	93.09	NA	NA	NA	NA
DNAH7	2.7	98.72	5.09	99.82	2.4	98.76	1.14	95.4	1.09	91.75	0.63	85.38	5.06	99.84	2.6	98.57	NA	NA	96.91	83.92
DNAJB2	0.02	61.18	-0.14	43.57	0.02	50.93	0.04	52.78	-0.59	19.35	-0.36	30.17	-0.11	43.42	0	57.39	NA	NA	53.66	66.85
DNAJC10	0.86	89.2	0.71	85.73	0.2	62.96	-0.14	37.87	1.05	91.23	0.82	88.79	0.43	76.28	0.16	68.78	NA	NA	46.75	22.64
DNAJC27	-0.2	40.89	-0.12	44.89	-0.48	22.93	-0.05	45.37	-0.36	30.26	-0.21	41.76	-0.02	49.61	-0.18	43.38	0.6	72.85	40.49	43.98
DNAJC5G	0.18	70.58	0.35	74.18	0.32	69.81	-0.06	44.03	0.16	64.82	-0.13	49.82	0.14	61	0.38	77.69	NA	NA	66.75	76.60
DNER	-0.3	33.24	-1.02	8.1	-0.15	39.97	-1.1	5.96	-0.94	9.69	-0.53	19.25	-0.39	26.38	-0.82	10.65	NA	NA	31.94	59.23
DNMT3A	-0.88	8.72	-1.13	6.48	-1.21	6.89	-0.82	9.86	-1.01	8.49	-0.87	8.82	-1.05	8.4	-0.84	10.29	NA	NA	2.74	0.83
DNPEP	0.77	88.01	0.24	69.37	-0.33	29.75	0.24	70.52	-0.03	52.33	0.57	84.01	0.2	64.53	-0.12	47.02	NA	NA	80.66	33.10
DOCK10	-1.51	2.57	-1.07	7.38	-0.78	13.65	0.76	90.4	-2.41	1.01	-1.66	1.77	1.19	93.07	-0.56	18.61	NA	NA	21.98	12.17
DOK1	-0.59	16.71	-0.69	15.12	-0.4	26.41	-0.48	18.72	-0.25	37.42	-0.38	28.74	-0.67	16.31	-0.75	12.68	NA	NA	26.51	49.76
DPP10	0.48	81.56	0.38	75.65	0.6	81.8	0	48.9	-0.28	34.68	-0.07	53.6	0.54	80.66	1.46	94.84	NA	NA	70.27	75.37
DPP4	-0.27	35.3	-0.97	8.9	-1.67	3.5	-0.78	10.44	-1.14	6.78	-0.66	14.26	-0.66	16.55	-0.52	20.29	NA	NA	14.55	16.25
DPY30	0.05	64.03	0.06	58	-0.04	46.72	0.27	72.42	0.08	60.11	0.06	65.58	0.06	55.51	0.04	61.25	0.28	56.9	60.53	58.79
DPYSL5	-0.21	40.08	-0.49	22.51	-1.06	8.58	-0.23	31.93	-0.13	44.96	-0.02	57.92	-0.91	10.63	-0.37	28.37	NA	NA	20.67	8.79
DQX1	-0.32	31.44	-0.18	40.45	0.65	83.16	0.22	67.88	0.24	69.07	-0.55	18.99	-0.31	30.57	-0.22	38.61	NA	NA	16.71	26.85
DTNB	-0.82	9.94	-0.8	12.46	-0.03	47.7	-0.17	35.47	-0.98	8.94	-0.85	9.21	-1.01	9.06	-0.81	11.04	NA	NA	29.2	31.47
DTYMK	-0.32	32.09	-0.54	20.26	-0.36	28.4	-0.18	35	-0.56	20.63	-0.34	31.62	-0.41	25.66	-0.27	35.97	NA	NA	36.04	41.56
DUSP11	0.25	73.63	0.22	67.92	0.08	55.24	0.6	86.55	-0.04	51.87	0.27	74.39	0.61	82.73	0.69	85.81	-1.01	13.39	39.18	22.55
DUSP19	-0.25	37.63	0.08	60.09	0.57	80.47	-0.08	42.56	-0.15	44.43	-0.32	33.13	0.22	66.59	-0.18	43.38	0.91	85.56	31.17	86.61
DYNC1I2	-0.36	29.16	-0.58	18.44	-0.48	22.75	-0.22	32.69	-0.56	20.63	-0.34	31.62	0.08	57.16	-0.27	35.97	NA	NA	14.4	22.28
DYNC2LI1	1.11	92.24	1.6	95.87	0.63	82.73	0.74	90.01	0.96	90.07	1.25	93.67	1.15	92.7	2.24	97.8	NA	NA	96.35	74.87
DYSF	-2.34	0.73	-1.31	4.85	0.54	79.31	-2.81	0.5	-1.09	7.4	-1.34	3.14	-1.26	5.8	-1.49	3.07	NA	NA	81.62	77.04
DYTN	1.1	91.98	2.65	98.83	2.04	98.16	1.68	98.08	1.47	94.95	1.14	92.57	2.54	98.92	2.03	97.2	NA	NA	95.76	94.89
E2F6	-0.12	48.6	0.04	56.64	0.2	63.27	0.07	55.44	-0.22	39.02	-0.13	49.82	0.41	75.68	0.33	75.84	0.34	59.86	62.09	51.22
ECEL1	-0.27	35.3	0	54.07	1.1	92.16	0.37	77.97	0.34	73.54	0.38	77.74	0.73	85.94	-0.73	13.02	NA	NA	38.23	42.41
EDAR	0.07	65.04	-0.44	24.46	0.03	51.65	-0.38	23.25	-0.55	21.03	-0.57	18.09	-0.59	18.55	-0.41	26.19	NA	NA	42.94	34.05
EEF1B2	-0.16	44.62	-0.03	51.4	-0.5	22.06	0.02	50.88	0.02	56.56	-0.21	41.76	0.12	59.86	-0.08	50.87	0.99	87.83	39.78	31.13
EFEMP1	-0.64	15.22	-0.76	13.45	-0.96	10.13	-0.53	16.97	-0.48	24	-0.53	20.14	-1.35	5.14	-0.87	9.64	NA	NA	20.45	16.32
EFHD1	0.19	71.21	-0.14	43.29	-0.08	44.38	-0.06	44.03	NA	NA	NA	NA	NA	NA	NA	NA	-0.04	41.67	49.79	75.15
EFR3B	-0.41	26.34	-0.4	26.53	1.14	92.68	0.02	51.26	-0.28	35.31	-0.41	27.43	-0.44	24.06	-0.45	24.32	NA	NA	NA	NA
EHBP1	-1.06	5.99	-0.08	47.22	0.34	70.77	0.23	68.81	0.52	80.19	-0.81	9.98	-0.84	11.83	-1.04	6.77	NA	NA	20.82	6.94
EHD3	-0.87	9.02	-1.13	6.48	-1.17	7.35	-0.82	9.86	-1.13	6.94	-0.7	13.17	-1.04	8.58	-0.99	7.52	NA	NA	10.4	17.58
EIF2AK2	-0.42	25.38	-0.67	15.62	-1.08	8.33	-0.28	28.4	-0.82	12.27	-0.51	21.17	-0.41	25.66	-0.27	35.97	NA	NA	8.3	6.12
EIF2AK3	0.77	87.89	0.09	60.65	-0.34	29.43	-0.53	17.15	0.52	80.31	0.97	90.76	-0.15	40.54	0.33	75.91	NA	NA	22.43	16.58
EIF2B4	-0.21	40.08	-0.76	13.45	-1.21	6.88	-0.53	16.97	-0.45	25.49	0.02	61.88	-0.91	10.63	-0.75	12.68	NA	NA	14.98	24.77
EIF4E2	-0.2	40.89	-0.34	30.07	-0.04	46.93	-0.03	46.77	-0.26	36.72	-0.15	47.68	-0.36	27.99	-0.24	38.27	0.71	77.92	39.66	40.97
EIF5B	-1.07	5.92	-0.2	39.21	0.01	50.54	0.12	59.08	-0.63	17.69	-1.1	5.36	-0.31	30.57	-0.99	7.52	NA	NA	7.43	12.15
ELMOD3	0.57	83.8	0.67	84.61	0.56	80.28	0.59	86.31	0.63	83.31	1.33	94.13	0.5	79.03	0.91	89.59	NA	NA	82.3	82.23
EMILIN1	0.67	86.02	-0.11	45.57	0.11	57.15	-0.65	13.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.66	89.00
EML4	-0.26	36.44	-1.35	4.63	-0.47	23.21	-1.25	4.72	-0.27	35.37	0.23	72.01	-0.96	9.86	-0.8	11.22	NA	NA	12.41	14.86
EML6	-1.5	2.67	-0.61	17.5	2.44	98.81	-0.09	41.14	-1.06	7.66	-1.38	3	-1.24	6.05	-0.98	7.67	NA	NA	NA	NA
EPAS1	-0.53	19.21	-0.88	10.54	-0.79	13.33	-1.08	6.15	-1.07	7.6	-0.62	15.71	-0.61	17.98	-0.51	21.14	NA	NA	9.67	33.33
EPB41L5	-0.08	51.54	0.05	57.48	-0.85	12.17	-0.56	15.89	0.81	87.61	0.15	69.09	-0.02	49.8	0.58	83.24	NA	NA	34.27	42.54
EPC2	-0.49	21.37	-0.29	33.2	-0.41	26.01	-0.37	23.93	-0.35	30.95	-0.45	24.65	-0.2	37.31	-0.06	52.06	NA	NA	17.93	12.07
EPCAM	0.04	62.41	0.37	75.29	0.5	77.67	0.35	76.89	0.61	82.85	0.21	71.91	0.73	86.12	-0.09	49.52	NA	NA	84.29	85.60
EPHA4	-1.04	6.27	-1.4	4.22	-1.8	2.92	-1.02	6.84	-1.36	4.5	-0.85	9.21	-1.14	7.2	-0.67	14.73	NA	NA	5.29	2.96
EPT1	-0.28	35.17	-0.21	38.58	-0.1	43.29	-0.11	39.74	-0.32	32.45	-0.19	43.65	-0.15	40.41	-0.42	25.91	-1.65	6.49	26.79	45.04
ERBB4	-1.43	3	-1.97	1.79	-2.16	1.81	-1.45	3.32	-1.68	2.7	-1.29	3.59	-2.14	1.84	-1.39	3.63	NA	NA	1.1	0.89
ERCC3	-1.14	5.11	-1.28	5.11	-1.5	4.49	-0.83	9.58	-0.56	20.08	-1.06	5.86	-1.86	2.49	-1.21	5.09	NA	NA	4.03	3.46
ERLEC1	-0.18	42.6	-0.69	15.12	0.18	61.85	-0.48	18.72	-0.17	42.53	-0.05	56.02	-0.48	22.63	-0.25	36.93	NA	NA	58.17	48.25
ERMN	0.21	71.78	0.64	83.78	0.4	73.6	0.55	84.98	0.47	78.73	-0.17	45.6	0.37	74.12	0.53	82.31	NA	NA	76.62	67.14
ETAA1	1.81	96.5	1.49	95.36	0.7	84.58	-0.19	34.42	0.58	81.84	1.59	95.56	1.39	94.73	1.22	93.14	NA	NA	90.82	84.53
EXOC6B	-0.45	23.17	-0.87	10.8	-0.59	19	-0.51	17.69	-0.95	9.58	-0.83	9.81	-1	9.23	-0.58	17.81	NA	NA	24.4	51.56
FABP1	0.37	78.1	0.13	62.74	-0.03	47.43	0.14	61.38	0.26	69.87	0.46	81.29	0.26	68.43	0.39	77.87	0.61	73.1	62.98	44.23
FAHD2A	-0.42	25.38	-0.67	15.62	-0.5	22.12	-0.28	28.4	-0.59	19.35	-0.36	30.17	-0.59	18.91	-0.54	19.74	NA	NA	15.49	67.28
FAHD2B	0.14	68.71	0.28	71.27	0.34	71.05	0.75	90.3	-0.18	42.09	0.19	71.2	0.28	69.61	0.47	80.57	NA	NA	87.03	69.99
FAM123C	0.33	76.5	-1.08	7.24	0.31	69.14	-1.05	6.47	-0.99	8.63	0.25	72.89	0.79	87.16	-0.08	50.99	NA	NA	7.94	77.13
FAM124B	0.39	78.96	0.04	57.15	-0.1	42.76	-0.3	27.45	0.2	67.14	0.72	86.98	0.15	61.42	0.23	71.94	NA	NA	NA	67.11
FAM126B	-0.42	25.38	-0.43	25.37	-0.79	13.42	-0.28	28.4	-0.66	16.92	-0.41	27.43	-0.26	34.03	-0.33	31.71	NA	NA	12.51	6.55
FAM134A	0.22	72.1	0.51	80.2	-0.3	31.58	0.65	88.16	0.62	83.13	0.51	82.39	0.02	52.47	0.37	77.3	NA	NA	71.11	31.29
FAM136A	-0.15	45.9	-0.01	53.19	0.12	57.99	0.04	52.37	-0.26	36.72	-0.15	47.68	-0.02	49.61	-0.18	43.38	-0.65	20.45	94.23	92.58
FAM161A	0.33	76.57	1.02	91.05	0.89	89.05	0.88	92.58	0.53	80.47	0.21	71.44	0.73	85.94	1.19	92.97	NA	NA	92.06	90.55
FAM168B	-0.09	51.36	-0.19	39.68	-0.01	49.09	0.09	56.76	-0.22	39.02	-0.13	49.82	-0.08	45.18	-0.05	53.64	-0.9	15.2	43.3	34.09
FAM171B	-0.18	42.26	-1.09	7.15	-0.41	26.11	-0.68	12.43	-1.55	3.25	-1.21	4.33	-0.52	21.12	-0.04	54.08	NA	NA	9.94	6.51
FAM176A	0.28	74.82	0.26	70.06	0.02	50.77	0.63	87.53	0.43	77.45	0.34	76.81	0.12	59.86	0.3	74.67	NA	NA	52.78	73.67
FAM178B	1.26	93.55	0.84	88.3	1.62	96.67	0.62	87.18	0.89	89.12	1.2	93.32	1.07	91.9	0.74	86.8	NA	NA	NA	NA
FAM179A	3.43	99.37	3.2	99.33	2.82	99.2	0.63	87.54	3.07	99.19	4.23	99.64	2.54	98.94	3.28	99.22	NA	NA	98.47	99.64
FAM228A	0.24	72.99	0.19	66.82	0.33	70.54	0.29	73.88	0.12	62.86	0.38	78.32	0.37	74.12	0.15	68.34	1.33	94.84	68.91	85.81
FAM49A	-0.08	52.75	-0.14	42.88	-0.11	42.1	0.12	59.81	-0.22	39.02	-0.13	49.82	0.11	58.99	0.07	63.34	-0.78	17.5	40.38	25.68
FAM82A1	-0.26	36.44	0.85	88.5	0.98	90.58	0.48	82.64	-1.24	5.7	-1.25	3.97	0.69	84.83	0.38	77.32	NA	NA	82.03	78.12
FAM84A	-0.03	56.85	-0.08	47.79	0.45	75.7	0.17	64.34	-0.06	51	-0.02	59.11	-0.03	48.73	-0.02	56.24	0.83	82.72	NA	50.57
FAM98A	-0.28	34.47	0.13	63.49	0.19	62.45	0.55	85.24	0.04	57.38	-0.15	46.2	-0.08	44.23	-0.31	32.45	NA	NA	52.36	62.61
FANCL	-0.49	21.37	-0.29	33.2	0.03	51.59	0.21	67.76	0.03	57.07	-0.45	24.65	-0.14	40.84	-0.57	18.55	NA	NA	67.49	84.12
FAP	-1.18	4.68	-1.11	6.86	-0.46	23.9	-0.88	8.81	-1.14	6.78	-1.19	4.49	-0.54	20.16	-0.38	27.9	NA	NA	13.76	7.52
FARP2	-0.38	27.36	0.37	75.31	1.52	96.17	0.24	70.24	0.7	84.96	-0.6	16.28	0.16	62.2	-0.98	7.69	NA	NA	42.69	97.25
FARSB	-0.12	47.71	-0.38	27.88	0.34	71.16	-0.43	20.77	-0.28	35.31	0.12	68.73	-0.08	44.23	-0.31	32.45	NA	NA	25.35	29.03
FASTKD1	0.06	64.08	-0.13	44.05	-0.02	48.21	-0.88	8.81	-0.08	48.7	0.59	84.23	0.21	65.29	-0.29	33.72	NA	NA	60.67	94.40
FASTKD2	0.13	68.41	0.87	88.8	0.19	62.45	0.27	71.85	0.62	83.13	-0.02	57.92	0.42	75.83	0.31	74.98	NA	NA	83.97	61.76
FBLN7	-0.47	22.42	-0.64	16.63	-1.06	8.6	0.05	53.16	-0.26	35.78	-0.34	30.5	-1.09	7.81	-0.64	15.79	NA	NA	49.34	62.93
FBXO11	-0.18	42.6	-0.69	15.12	-0.84	12.41	-0.19	34.15	-0.82	12.27	-0.51	21.17	-0.43	24.51	-0.22	39.22	NA	NA	11.54	3.90
FBXO36	0.19	71.21	0.13	63	0.79	86.95	0.53	84.47	0.4	76.21	0.31	76.03	0.67	84.39	0.18	69.93	1.9	98.98	75.68	91.25
FBXO48	-0.02	58.07	-0.05	49.39	0.05	52.9	0.19	65.65	0.04	58.08	0.04	64.23	0.41	75.68	-0.05	53.64	-0.02	42.38	47.76	53.26
FEZ2	0.06	64.52	-0.07	48.35	0.14	59.1	0.38	78.41	-0.25	37.42	0.15	69.59	-0.06	46.82	0.41	78.67	NA	NA	NA	24.87
FHL2	0.15	69.36	0.31	72.23	0.24	65.32	0.19	66.09	-0.04	51.87	-0.26	38.17	-0.2	37.31	-0.06	52.06	NA	NA	50.14	34.42
FIGN	-0.81	10.23	-1.02	8	-1.3	6.05	-0.45	20.21	-0.88	10.89	-0.79	10.81	-0.91	10.63	-0.75	12.68	NA	NA	2.62	5.44
FKBP1B	-0.02	58.07	-0.05	49.39	-0.24	34.29	0.19	65.65	-0.06	51	-0.02	59.11	0.01	52.23	0.01	58.77	-1.85	5.11	55.89	44.57
FKBP7	-0.28	35.17	-0.45	24	0.34	71.05	-0.11	39.74	-0.26	36.72	-0.15	47.68	-0.35	28.67	-0.39	27.64	1.63	97.78	27.64	24.29
FMNL2	-0.6	16.37	0.14	63.62	-0.7	15.75	0.47	82.23	-0.49	22.74	-1.02	6.32	-0.16	39.9	0.1	65.52	NA	NA	33.22	14.97
